1771	1
1785	1
1787	1
1789	3
1791	1
1795	2
1797	2
1799	1
1800	14040
1801	20
1802	15
1803	19
1804	27
1805	18
1806	21
1807	19
1808	17
1809	27
1810	15
1811	23
1812	36
1813	31
1814	29
1815	31
1816	36
1817	34
1818	70
1819	40
1820	39
1821	25
1822	46
1823	33
1824	74
1825	50
1826	69
1827	77
1828	82
1829	64
1830	89
1831	64
1832	75
1833	79
1834	112
1835	116
1836	121
1837	122
1838	97
1839	111
1840	135
1841	130
1842	186
1843	141
1844	156
1845	158
1846	127
1847	164
1848	188
1849	153
1850	133
1851	155
1852	153
1853	171
1854	197
1855	193
1856	236
1857	246
1858	242
1859	278
1860	254
1861	327
1862	312
1863	327
1864	315
1865	359
1866	404
1867	370
1868	384
1869	458
1870	505
1871	452
1872	441
1873	554
1874	609
1875	570
1876	577
1877	713
1878	767
1879	722
1880	824
1881	862
1882	895
1883	973
1884	989
1885	1044
1886	1010
1887	1286
1888	1237
1889	1202
1890	1230
1891	1316
1892	1209
1893	1302
1894	1457
1895	1408
1896	1358
1897	1423
1898	1483
1899	1637
1900	1614
1901	1886
1902	1935
1903	1918
1904	2118
1905	2033
1906	2177
1907	2116
1908	1984
1909	2175
1910	2007
1911	2071
1912	2048
1913	2002
1914	1800
1915	1369
1916	1282
1917	895
1918	980
1919	1127
1920	1965
1921	2543
1922	2986
1923	3296
1924	3766
1925	3895
1926	4606
1927	5021
1928	5904
1929	6882
1930	7691
1931	6571
1932	6607
1933	7035
1934	7044
1935	6966
1936	7500
1937	7513
1938	7538
1939	7580
1940	6830
1941	6167
1942	5723
1943	4990
1944	5505
1945	5193
1946	6254
1947	6590
1948	7596
1949	8660
1950	9016
1951	9940
1952	10172
1953	11225
1954	11935
1955	12013
1956	14372
1957	14828
1958	16758
1959	19222
1960	23301
1961	22832
1962	24372
1963	24906
1964	25341
1965	27032
1966	29087
1967	26214
1968	25474
1969	27372
1970	31780
1971	29654
1972	29362
1973	28242
1974	30307
1975	30904
1976	37512
1977	38800
1978	36140
1979	32678
1980	46632
1981	47353
1982	44718
1983	46865
1984	48374
1985	49817
1986	50840
1987	54045
1988	60348
1989	60303
1990	61130
1991	64521
1992	63214
1993	61830
1994	60116
1995	67015
1996	73107
1997	77953
1998	80298
1999	81509
2000	81736
2001	87240
2002	105454
2003	122646
2004	130690
2005	128019
2006	130899
2007	122702
2008	122358
2009	124514
2010	143434
2011	145163
2012	144157
2013	150897
2014	160501
2015	165012
2016	166564
2017	165386
2018	162087
2019	163794
2020	165233
2021	160678
2022	22855
4000	12859
