1771		1	1		1	1
1772			0			0
1773			0			0
1774			0			0
1775			0			0
1776			0			0
1777			0			0
1778			0			0
1779			0			0
1780			0			0
1781			0			0
1782			0			0
1783			0			0
1784			0			0
1785		2	2		2	2
1786			0			0
1787		1	1		1	1
1788			0			0
1789		2	2		2	2
1790			0			0
1791		1	1		1	1
1792			0			0
1793			0			0
1794			0			0
1795		3	3		3	3
1796			0			0
1797		2	2		2	2
1798			0			0
1799		1	1		1	1
1800	19549	34	19583	22385	35	22420
1801		22	22		22	22
1802		33	33		44	44
1803	2	22	24	3	24	27
1804	1	40	41	1	53	54
1805		26	26		30	30
1806		52	52		62	62
1807		31	31		58	58
1808		36	36		63	63
1809		58	58		74	74
1810		28	28		35	35
1811		57	57		68	68
1812		103	103		134	134
1813		102	102		139	139
1814		78	78		100	100
1815		65	65		73	73
1816		68	68		82	82
1817		65	65		87	87
1818		177	177		208	208
1819	1	73	74	1	84	85
1820		73	73		106	106
1821		79	79		89	89
1822		104	104		117	117
1823		64	64		79	79
1824		199	199		243	243
1825		113	113		129	129
1826		348	348		451	451
1827		288	288		364	364
1828		307	307		373	373
1829		176	176		211	211
1830		240	240		326	326
1831		205	205		295	295
1832		217	217		252	252
1833		154	154		198	198
1834		364	364		498	498
1835	1	231	232	1	313	314
1836	1	369	370	1	438	439
1837	6	286	292	7	337	344
1838	3	305	308	3	377	380
1839		324	324		393	393
1840		300	300		376	376
1841	1	414	415	2	511	513
1842		642	642		794	794
1843		472	472	1	668	669
1844	2	503	505	4	640	644
1845		456	456		612	612
1846	1	404	405	1	502	503
1847	13	419	432	16	516	532
1848	1	607	608	2	716	718
1849		423	423		516	516
1850	1	454	455	1	573	574
1851	3	448	451	4	542	546
1852	1	435	436	1	536	537
1853	1	474	475	1	577	578
1854	4	533	537	5	679	684
1855		510	510		716	716
1856	2	533	535	2	720	722
1857	1	777	778	4	1008	1012
1858	8	683	691	11	835	846
1859	6	700	706	12	896	908
1860	3	817	820	5	973	978
1861	2	1139	1141	7	1371	1378
1862	6	962	968	8	1231	1239
1863	9	976	985	13	1204	1217
1864	2	1087	1089	5	1338	1343
1865	1	1038	1039	1	1275	1276
1866		1339	1339	8	1612	1620
1867	1	1365	1366	10	1650	1660
1868		1430	1430	8	1676	1684
1869	6	1551	1557	10	1910	1920
1870	2	1625	1627	4	1996	2000
1871	10	1292	1302	18	1592	1610
1872	13	1671	1684	24	2019	2043
1873	6	1898	1904	12	2259	2271
1874	6	2123	2129	10	2515	2525
1875	1	1958	1959	3	2326	2329
1876	4	2123	2127	11	2552	2563
1877	44	2911	2955	65	3432	3497
1878	17	3049	3066	40	3506	3546
1879	11	2708	2719	28	3242	3270
1880	9	3125	3134	18	3769	3787
1881	31	3754	3785	58	4348	4406
1882	38	4069	4107	69	4622	4691
1883	48	4783	4831	97	5396	5493
1884	21	4984	5005	49	5670	5719
1885	31	5369	5400	60	6106	6166
1886	30	5769	5799	59	6461	6520
1887	44	6491	6535	110	7446	7556
1888	32	6892	6924	65	7785	7850
1889	18	6834	6852	62	7719	7781
1890	39	6897	6936	86	7797	7883
1891	39	7978	8017	79	8948	9027
1892	33	7181	7214	77	8244	8321
1893	27	7429	7456	87	8431	8518
1894	72	8753	8825	168	9966	10134
1895	61	9056	9117	138	10316	10454
1896	24	8758	8782	61	9941	10002
1897	74	9261	9335	124	10634	10758
1898	40	9798	9838	117	11297	11414
1899	133	10330	10463	228	11951	12179
1900	97	9916	10013	215	11512	11727
1901	150	11635	11785	261	13571	13832
1902	143	13157	13300	260	15275	15535
1903	176	12171	12347	277	14186	14463
1904	178	14737	14915	309	17174	17483
1905	152	13506	13658	262	15806	16068
1906	219	14195	14414	356	16619	16975
1907	284	14051	14335	410	16317	16727
1908	139	13405	13544	254	15860	16114
1909	140	15394	15534	244	17922	18166
1910	81	13884	13965	219	16185	16404
1911	133	14924	15057	266	17558	17824
1912	83	15514	15597	212	18165	18377
1913	130	14749	14879	281	17629	17910
1914	86	12430	12516	191	14636	14827
1915	75	9408	9483	160	10918	11078
1916	120	7793	7913	213	9055	9268
1917	50	6193	6243	122	7134	7256
1918	52	5934	5986	128	6964	7092
1919	70	7377	7447	168	8715	8883
1920	277	9204	9481	551	11131	11682
1921	416	13840	14256	818	16299	17117
1922	690	15989	16679	1193	18800	19993
1923	542	18535	19077	1103	21920	23023
1924	813	19491	20304	1404	22957	24361
1925	856	21671	22527	1424	25805	27229
1926	1317	23594	24911	1978	28053	30031
1927	1707	24058	25765	2733	28362	31095
1928	2518	23821	26339	3748	28383	32131
1929	2976	26115	29091	4420	30860	35280
1930	3083	24529	27612	4782	29130	33912
1931	2149	24482	26631	3509	28950	32459
1932	2245	23794	26039	3482	28445	31927
1933	2419	25639	28058	3622	30640	34262
1934	2506	26777	29283	3723	31478	35201
1935	2372	25745	28117	3575	30624	34199
1936	2841	28351	31192	4152	33119	37271
1937	3026	29014	32040	4357	34015	38372
1938	3049	27418	30467	4406	31897	36303
1939	2672	28702	31374	3988	33573	37561
1940	2920	24113	27033	4252	28529	32781
1941	2578	23475	26053	3648	27222	30870
1942	2519	21448	23967	3582	24749	28331
1943	2182	18828	21010	3003	21773	24776
1944	2936	17713	20649	4093	20438	24531
1945	2635	17619	20254	3577	20486	24063
1946	2727	24314	27041	3686	28488	32174
1947	2654	28614	31268	3318	33612	36930
1948	3090	35691	38781	3907	41436	45343
1949	3548	42904	46452	4567	49286	53853
1950	4006	37041	41047	5120	41696	46816
1951	4260	42225	46485	5608	48014	53622
1952	4084	47275	51359	5311	53675	58986
1953	5214	48884	54098	6415	55638	62053
1954	6329	52506	58835	7487	59065	66552
1955	6109	55149	61258	7375	62379	69754
1956	8081	62337	70418	9715	70281	79996
1957	7962	70043	78005	9793	79071	88864
1958	10868	73392	84260	13418	83555	96973
1959	14137	84996	99133	17654	96406	114060
1960	15586	100487	116073	20835	166830	187665
1961	17201	99453	116654	22854	170815	193669
1962	16859	104693	121552	28084	181285	209369
1963	17427	108514	125941	27436	192742	220178
1964	19462	109863	129325	30193	197739	227932
1965	16865	121137	138002	33091	208696	241787
1966	25712	115220	140932	42373	211983	254356
