1771	1	1		1	
1785	1	2		1	
1787	1	1		1	
1789	1	2		1	
1791	1	1		1	
1795	1	3		2	
1797	2	1	1	1	1
1799	1	1		1	
1800	4958	4.10468	3	1.25	1
1801	14	1.57143	1	1.42857	1
1802	15	2.2	1	1.13333	1
1803	17	1.41176	1	1	1
1804	26	1.61538	1	1.12	1
1805	18	1.44444	1	1.11111	1
1806	30	1.8	1	1.1	1
1807	22	1.40909	1	1.09091	1
1808	29	1.27586	1	1.06897	1
1809	37	1.56757	1	1.37838	1
1810	15	1.86667	2	1.2	1
1811	32	1.8125	1	1.0625	1
1812	51	2.01961	1	1.01961	1
1813	51	2.01961	1	1.15686	1
1814	50	1.56	1	1.06	1
1815	34	1.94118	1	1.02941	1
1816	48	1.41667	1	1.04167	1
1817	41	1.58537	1	1	1
1818	90	1.96667	1	1.03333	1
1819	40	1.85	1	1.10256	1
1820	45	1.62222	1	1.06667	1
1821	53	1.49057	1	1.01887	1
1822	72	1.44444	1	1.02778	1
1823	40	1.6	1	1.05	1
1824	109	1.82569	1	1.01835	1
1825	67	1.68657	1	1.08955	1
1826	168	2.07738	1	1.00595	1
1827	125	2.312	1	1.04	1
1828	151	2.03311	1	1.03974	1
1829	80	2.2	1	1.05	1
1830	138	1.73913	1	1.0942	1
1831	100	2.05	1	1.05	1
1832	117	1.8547	1	1.05983	1
1833	78	1.97436	1	1.12821	1
1834	165	2.21212	1	1.07879	1
1835	129	1.81395	1	1.10156	1
1836	151	2.45695	1	1.02667	1
1837	133	2.20301	1	1.03788	1
1838	126	2.45238	1	1.08065	1
1839	146	2.23973	1	1.03425	1
1840	135	2.28148	1	1.14074	1
1841	162	2.58642	1	1.04969	1
1842	299	2.15719	1	1.08361	1
1843	196	2.46429	1	1.13265	1
1844	194	2.6701	1	1.04663	1
1845	181	2.60773	1	1.09945	1
1846	165	2.47273	2	1.18293	1
1847	216	2	1	1.11321	1
1848	239	2.56485	2	1.23109	1
1849	187	2.34225	1	1.05882	1
1850	198	2.33333	1	1.06599	1
1851	206	2.32524	1	1.05392	1
1852	181	2.44199	1	1.07778	1
1853	183	2.60656	1	1.09341	1
1854	222	2.5	1	1.1	1
1855	250	2.072	1	1.072	1
1856	265	2.06415	1	1.125	1
1857	338	2.3432	1	1.25893	1
1858	314	2.22611	1	1.18506	1
1859	311	2.28939	1	1.13916	1
1860	312	2.67628	2	1.11039	1
1861	481	2.39293	1	1.12109	1
1862	363	2.71625	1	1.16201	1
1863	427	2.33255	1	1.15166	1
1864	441	2.5034	1	1.11818	1
1865	436	2.43578	2	1.13103	1
