1771	1	1	
1785	1	2	
1787	1	1	
1789	1	2	
1791	1	1	
1795	2	3	3
1797	2	1	1
1799	1	1	
1800	8	4.875	3
1801	19	1.73684	1
1802	10	3.6	2
1803	13	1.69231	1
1804	19	2.42105	2
1805	16	1.875	2
1806	11	5.27273	2
1807	16	2.125	1
1808	13	3	1
1809	19	4.31579	1
1810	8	4	2
1811	17	3.58824	2
1812	19	5.47368	1
1813	22	5.77273	4
1814	21	3.85714	1
1815	19	3.63158	3
1816	22	3.18182	2
1817	24	2.70833	1
1818	33	5.48485	2
1819	33	2.42424	1
1820	26	2.92308	1
1821	22	3.63636	1
1822	31	3.41935	1
1823	24	2.875	1
1824	44	4.59091	1
1825	37	3.24324	1
1826	46	7.65217	2
1827	52	5.78846	2
1828	51	6.17647	1
1829	53	3.43396	2
1830	67	3.92537	2
1831	48	4.47917	2
1832	56	4.44643	2
1833	48	3.79167	2
1834	57	6.96491	2
1835	71	3.83099	1
1836	84	4.46429	1
1837	89	3.38202	1
1838	71	5.3662	2
1839	84	4.14286	2
1840	103	3.28155	2
1841	81	5.35802	2
1842	117	6.00855	2
1843	105	5.05714	2
1844	96	5.625	2
1845	102	4.93137	3
1846	89	5.25843	2
1847	120	3.96667	2
1848	125	5.808	2
1849	106	4.38679	2
1850	96	5.27083	3
1851	118	4.23729	2
1852	112	4.1875	2
1853	107	4.8785	2
1854	136	4.44853	2
1855	144	3.875	2
1856	176	3.68182	2
1857	176	6.11364	2
1858	174	4.66092	2
1859	199	4.01005	2
1860	186	5.30108	3
1861	245	5.1551	2
1862	219	5.01826	2
1863	214	5.36916	3
1864	226	5.36283	3
1865	247	4.91093	3
1866	265	5.98113	3
1867	244	6.53279	3
1868	272	7.12132	3
1869	318	6.25157	3
1870	350	6.29429	3
1871	317	5.40379	2
1872	298	6.7953	3
1873	392	6.32143	3
1874	407	6.91892	3
1875	421	6.019	2
1876	430	6.47209	3
1877	471	7.95117	4
1878	505	8.12277	4
1879	535	7.2	3
1880	581	8.18761	3
1881	585	9.24103	4
1882	600	9.58667	4
1883	622	11.0402	5
1884	679	10.6907	5
1885	710	10.9549	5
1886	748	10.9171	5
1887	873	11.1283	5
1888	837	12.5878	6
1889	869	11.9459	6
1890	838	12.9463	5
1891	931	13.4683	7
1892	906	12.2715	5
1893	930	12.5419	6
1894	1054	13.4744	5
1895	1035	13.5845	6
1896	1003	14.1386	7
1897	1104	13.1332	6
1898	1142	14.2198	6
1899	1206	14.4138	6
1900	1240	13.4887	5
1901	1350	14.9393	6
1902	1416	16.7041	6
1903	1438	14.4833	6
1904	1541	17.3971	6
1905	1560	15.0006	6
1906	1633	16.2756	6
1907	1554	15.9556	6
1908	1578	15.1806	6
1909	1685	16.1033	6
1910	1558	15.7452	6
1911	1605	16.562	5
1912	1654	16.8748	6
1913	1595	17.5135	6
1914	1484	15.4299	6
1915	1097	15.9417	5
1916	947	15.4087	5
1917	730	15.7836	5
1918	725	15.3462	6
1919	860	15.486	5
1920	1231	14.6629	5
1921	1546	17.489	6
1922	1688	19.3868	7
1923	2044	17.774	7
1924	2270	17.8661	6
1925	2336	19.6147	6
1926	2658	18.0572	6
1927	2747	18.3677	6
1928	2726	18.2252	6
1929	3118	17.5106	6
1930	3238	17.1232	5
1931	3122	17.6989	5
1932	3268	16.7166	5
1933	3378	17.3615	5
1934	3535	17.6727	5
1935	3476	16.9813	5
1936	3666	17.7087	5
1937	3610	19.1895	6
1938	3461	18.6102	6
1939	3691	18.7339	6
1940	3142	18.2658	6
1941	2920	19.4127	6
1942	2433	22.3917	7
1943	2299	20.5689	7
1944	2162	20.4635	7
1945	2098	21.8232	7
1946	2611	24.7208	6
1947	3289	22.1247	6
1948	3879	23.7904	7
1949	4672	23.4112	7
1950	4261	21.8249	6
1951	4819	21.2996	6
1952	5383	21.2831	6
1953	5672	21.6287	6
1954	5790	22.8585	6
1955	6198	22.0094	6
1956	6969	22.2662	6
1957	7606	22.6826	6
1958	8228	22.6299	6
1959	9007	23.3235	6
1960	10588	20.3459	7
1961	10588	20.7445	7
1962	11095	19.8861	7
1963	11714	20.8772	7
1964	12243	20.1889	7
1965	13968	19.574	7
1966	13782	19.1409	6
1967	14357	19.9884	7
1968	16071	22.4555	8
1969	15354	19.3311	7
1970	16825	20.2955	7
1971	16531	20.7174	7
1972	16879	21.375	7
1973	16419	21.5052	7
1974	15508	21.1813	7
1975	15168	22.9761	8
1976	16378	22.3914	8
1977	17183	22.4371	8
1978	17304	21.4407	7
1979	17775	21.3045	7
1980	38356	32.7112	11
1981	41212	33.8794	10
1982	41136	33.7564	10
1983	43233	34.0279	10
1984	43622	35.8051	10
1985	45141	35.4485	11
1986	45515	35.4551	10
1987	48340	36.9261	10
1988	53034	36.1063	10
1989	51439	37.5391	10
1990	52080	41.8265	11
1991	53057	42.4378	10
1992	53365	49.8855	11
1993	54137	48.0975	11
1994	53985	48.3831	12
1995	58876	39.1322	10
1996	64639	58.5193	12
1997	65943	55.684	12
1998	67142	59.3093	13
1999	69665	58.2148	13
2000	70409	58.8338	13
2001	70117	61.6396	13
2002	79808	60.3362	13
2003	81674	65.9431	14
2004	84997	69.3094	13
2005	88303	67.9309	14
2006	89064	72.7873	14
2007	91540	59.348	13
2008	94468	25.6674	11
2009	100661	26.7727	11
2010	122891	29.2155	11
2011	124952	75.1798	16
2012	126188	83.5982	17
2013	134225	76.3432	17
2014	144289	73.8003	15
2015	145575	68.7938	15
2016	145439	71.7341	16
2017	148605	74.1533	16
2018	148428	76.8946	16
2019	153816	75.7132	16
2020	158743	78.6779	14
2021	158831	88.393	16
2022	22635	43.0752	7
4000	5813	8.37743	2
