Substance ID = 	385737
2010	5274
2011	5640
2012	5640
2013	5841
2014	5862
2015	6388
2016	6487
2017	6886
2018	7048
2019	6581
2020	6912
2021	7723
2022	377
Substance ID = 	471223
1800	104
1824	4
1832	3
1835	1
1836	3
1837	1
1841	6
1844	1
1848	1
1849	1
1850	3
1851	2
1855	1
1856	3
1858	1
1859	1
1862	4
1864	3
1865	2
1866	6
1867	5
1868	1
1869	2
1870	7
1871	2
1872	4
1873	1
1874	3
1875	1
1876	1
1877	12
1878	12
1879	2
1880	7
1881	18
1882	20
1883	22
1884	31
1885	26
1886	21
1887	39
1888	31
1889	42
1890	35
1891	29
1892	37
1893	57
1894	82
1895	78
1896	90
1897	68
1898	73
1899	70
1900	69
1901	103
1902	86
1903	61
1904	117
1905	70
1906	98
1907	70
1908	100
1909	112
1910	71
1911	57
1912	66
1913	82
1914	57
1915	75
1916	63
1917	45
1918	40
1919	24
1920	46
1921	86
1922	80
1923	77
1924	98
1925	105
1926	97
1927	79
1928	130
1929	143
1930	122
1931	158
1932	147
1933	121
1934	117
1935	112
1936	144
1937	132
1938	148
1939	139
1940	110
1941	84
1942	96
1943	84
1944	72
1945	94
1946	92
1947	100
1948	149
1949	176
1950	153
1951	150
1952	191
1953	251
1954	242
1955	265
1956	258
1957	249
1958	240
1959	226
1960	139
1961	157
1962	171
1963	138
1964	152
1965	147
1966	144
1967	164
1968	177
1969	190
1970	205
1971	242
1972	177
1973	227
1974	229
1975	235
1976	262
1977	256
1978	274
1979	276
1980	912
1981	1195
1982	1006
1983	1147
1984	1275
1985	1338
1986	1193
1987	1250
1988	1282
1989	1286
1990	1313
1991	1470
1992	1402
1993	1502
1994	1553
1995	1517
1996	1502
1997	1894
1998	2065
1999	2000
2000	1976
2001	2213
2002	2565
2003	2603
2004	2770
2005	3160
2006	3481
2007	3379
2008	3567
2009	3902
2010	4960
2011	4975
2012	5340
2013	5616
2014	5458
2015	5637
2016	5572
2017	5355
2018	5300
2019	5374
2020	5378
2021	5314
2022	440
Substance ID = 	1209228
1800	337
1838	1
1868	1
1872	2
1874	3
1879	1
1882	1
1883	1
1884	1
1885	2
1886	2
1887	8
1888	4
1889	10
1890	13
1891	7
1892	27
1893	16
1894	49
1895	30
1896	39
1897	33
1898	53
1899	39
1900	54
1901	48
1902	50
1903	67
1904	53
1905	59
1906	42
1907	55
1908	57
1909	40
1910	25
1911	27
1912	55
1913	54
1914	26
1915	32
1916	33
1917	29
1918	30
1919	25
1920	39
1921	55
1922	79
1923	93
1924	80
1925	72
1926	75
1927	84
1928	105
1929	109
1930	115
1931	84
1932	133
1933	161
1934	124
1935	148
1936	185
1937	182
1938	238
1939	209
1940	153
1941	186
1942	155
1943	94
1944	202
1945	159
1946	351
1947	241
1948	305
1949	413
1950	424
1951	359
1952	409
1953	527
1954	568
1955	647
1956	621
1957	685
1958	617
1959	590
1960	284
1961	336
1962	407
1963	438
1964	316
1965	430
1966	445
1967	423
1968	419
1969	432
1970	577
1971	530
1972	413
1973	819
1974	378
1975	405
1976	537
1977	571
1978	495
1979	491
1980	1512
1981	1135
1982	1182
1983	1379
1984	1177
1985	1296
1986	1122
1987	1152
1988	1363
1989	1007
1990	1345
1991	1523
1992	1203
1993	1401
1994	1366
1995	1670
1996	1443
1997	1442
1998	1553
1999	1571
2000	1611
2001	1932
2002	2026
2003	2163
2004	2671
2005	2816
2006	2957
2007	2949
2008	3396
2009	3496
2010	4454
2011	3799
2012	4292
2013	4638
2014	4736
2015	4761
2016	4989
2017	5139
2018	5215
2019	5472
2020	4738
2021	5281
2022	190
Substance ID = 	605461
1870	4
1881	2
1882	1
1889	2
1892	2
1894	1
1899	7
1900	4
1901	1
1902	6
1904	3
1905	14
1910	2
1912	3
1913	4
1917	1
1920	1
1921	4
1924	1
1925	6
1926	1
1927	2
1930	2
1931	2
1932	2
1933	9
1934	6
1935	1
1936	8
1937	8
1938	5
1939	3
1940	3
1941	1
1942	8
1944	3
1945	2
1946	16
1947	1
1949	25
1950	17
1951	9
1952	9
1953	8
1954	9
1955	20
1956	15
1957	16
1958	31
1959	31
1960	9
1961	30
1962	16
1963	28
1964	34
1965	41
1966	30
1967	42
1968	66
1969	59
1970	76
1971	87
1972	41
1973	40
1974	45
1975	30
1976	56
1977	61
1978	41
1979	36
1980	167
1981	189
1982	169
1983	242
1984	246
1985	284
1986	297
1987	279
1988	319
1989	328
1990	397
1991	340
1992	308
1993	426
1994	278
1995	434
1996	484
1997	396
1998	483
1999	591
2000	598
2001	628
2002	1009
2003	1122
2004	1404
2005	1652
2006	1402
2007	1945
2008	2016
2009	2595
2010	3112
2011	3260
2012	3394
2013	4352
2014	4206
2015	4500
2016	4792
2017	4566
2018	4642
2019	4602
2020	4440
2021	4632
2022	283
Substance ID = 	385801
1865	1
1866	1
1875	1
1876	1
1877	1
1883	7
1885	4
1890	1
1891	1
1895	1
1899	2
1902	2
1903	1
1904	4
1905	2
1906	1
1907	6
1908	5
1909	2
1910	7
1911	5
1912	5
1913	14
1914	3
1915	1
1916	3
1917	2
1920	2
1921	3
1922	2
1923	3
1924	3
1925	6
1926	12
1927	2
1928	12
1929	7
1930	7
1931	10
1932	6
1933	5
1934	5
1935	19
1936	19
1937	19
1938	8
1939	13
1940	8
1941	8
1942	7
1943	5
1944	3
1945	6
1946	11
1947	13
1948	27
1949	18
1950	15
1951	41
1952	22
1953	46
1954	33
1955	53
1956	31
1957	36
1958	44
1959	47
1960	22
1961	19
1962	33
1963	25
1964	37
1965	13
1966	35
1967	58
1968	61
1969	55
1970	38
1971	73
1972	55
1973	54
1974	73
1975	74
1976	164
1977	137
1978	121
1979	135
1980	454
1981	583
1982	516
1983	515
1984	526
1985	611
1986	652
1987	812
1988	821
1989	798
1990	918
1991	923
1992	899
1993	930
1994	1297
1995	1202
1996	1333
1997	1370
1998	1539
1999	1572
2000	1458
2001	1619
2002	1823
2003	1984
2004	2232
2005	2093
2006	2252
2007	2052
2008	2038
2009	2166
2010	2280
2011	2327
2012	2525
2013	2470
2014	2634
2015	2598
2016	2704
2017	2733
2018	2823
2019	2791
2020	2640
2021	2805
2022	228
